,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participação por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
44,Jutaí 1,349,149.0,7,"0,30%","1.040,72",11,"7,38%","76,83",2020-06-07
45,Nova Olinda do Norte,172,140.0,4,"0,28%","374,55",12,"8,57%","32,10",2020-06-07
46,Japurá,308,137.0,47,"0,28%","4.972,78",0,"0,00%","0,00",2020-06-07
47,Silves,280,137.0,2,"0,28%","1.493,84",4,"2,92%","43,62",2020-06-07
48,São Sebastião do Uatumã,230,130.0,0,"0,26%","927,25",1,"0,77%","7,13",2020-06-07
49,Lábrea,198,117.0,2,"0,24%","253,97",0,"0,00%","0,00",2020-06-07
50,Maraã 1,339,116.0,23,"0,24%","636,52",1,"0,86%","5,49",2020-06-07
51,Caapiranga,218,109.0,0,"0,22%","833,27",2,"1,83%","15,29",2020-06-07
52,Boa Vista do Ramos,234,90.0,3,"0,18%","468,58",2,"2,22%","10,41",2020-06-07
53,Guajará,90,80.0,0,"0,16%","479,67",1,"1,25%","6,00",2020-06-07
54,Codajás,121,74.0,0,"0,15%","258,41",2,"2,70%","6,98",2020-06-07
55,Juruá,391,72.0,0,"0,15%","489,40",0,"0,00%","0,00",2020-06-07
56,Nhamundá,140,72.0,1,"0,15%","340,06",2,"2,78%","9,45",2020-06-07
57,Manicoré,529,68.0,17,"0,14%","121,97",2,"2,94%","3,59",2020-06-07
58,Pauini 1,75,67.0,0,"0,14%","344,90",0,"0,00%","0,00",2020-06-07
59,Careiro da Várzea,141,54.0,0,"0,11%","178,66",1,"1,85%","3,31",2020-06-07
60,Santa Isabel do Rio Negro 1,107,43.0,0,"0,09%","170,93",1,"2,33%","3,98",2020-06-07
61,Canutama,114,36.0,0,"0,07%","230,34",0,"0,00%","0,00",2020-06-07
62,Apuí 1,144,27.0,0,"0,05%","122,88",0,"0,00%","0,00",2020-06-07
63,Itamarati 1,35,4.0,0,"0,01%","50,95",0,"0,00%","0,00",2020-06-07
64,Envira***,11,0.0,0,"0,00%","0,00",0,"0,00%","0,00",2020-06-07
65,Ipixuna***,18,0.0,0,"0,00%","0,00",0,"0,00%","0,00",2020-06-07
