,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participação por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
34,Amaturá,378,357.0,0,"0,60%","3.094,66",8,"2,24%","69,35",2020-06-17
35,Humaitá,1.110,362.0,0,"0,61%","657,23",4,"1,10%","7,26",2020-06-17
36,Novo Aripuanã,362,353.0,0,"0,59%","1.376,54",8,"2,27%","31,20",2020-06-17
37,Atalaia do Norte,465,323.0,0,"0,54%","1.621,40",1,"0,31%","5,02",2020-06-17
38,Nova Olinda do Norte,445,319.0,5,"0,54%","853,44",18,"5,64%","48,16",2020-06-17
39,Urucará,663,292.0,7,"0,49%","1.796,26",4,"1,37%","24,61",2020-06-17
40,Urucurituba,787,284.0,0,"0,48%","1.231,30",2,"0,70%","8,67",2020-06-17
41,Lábrea,344,272.0,3,"0,46%","590,42",3,"1,10%","6,51",2020-06-17
42,Eirunepé,710,263.0,0,"0,44%","745,61",0,"0,00%","0,00",2020-06-17
43,Anamã,421,247.0,0,"0,41%","1.814,31",0,"0,00%","0,00",2020-06-17
44,Jutaí,464,218.0,7,"0,37%","1.522,67",13,"5,96%","90,80",2020-06-17
45,Novo Airão,538,202.0,0,"0,34%","1.038,35",5,"2,48%","25,70",2020-06-17
46,Manaquiri,320,195.0,1,"0,33%","607,38",9,"4,62%","28,03",2020-06-17
47,Japurá,395,188.0,63,"0,32%","6.823,96",0,"0,00%","0,00",2020-06-17
48,São Sebastião do Uatumã,322,166.0,1,"0,28%","1.184,02",1,"0,60%","7,13",2020-06-17
49,Maraã,502,182.0,23,"0,31%","998,68",2,"1,10%","10,97",2020-06-17
50,Silves,315,145.0,3,"0,24%","1.581,07",4,"2,76%","43,62",2020-06-17
51,Boa Vista do Ramos,301,140.0,3,"0,24%","728,90",2,"1,43%","10,41",2020-06-17
52,Caapiranga,285,134.0,0,"0,23%","1.024,39",3,"2,24%","22,93",2020-06-17
53,Pauini,193,193.0,0,"0,32%","993,51",1,"0,52%","5,15",2020-06-17
54,Guajará,200,179.0,0,"0,30%","1.073,27",1,"0,56%","6,00",2020-06-17
55,Nhamundá,185,114.0,1,"0,19%","538,42",2,"1,75%","9,45",2020-06-17
56,Codajás,171,106.0,1,"0,18%","370,15",3,"2,83%","10,48",2020-06-17
57,Manicoré,736,112.0,32,"0,19%","200,89",3,"2,68%","5,38",2020-06-17
58,Juruá,480,142.0,0,"0,24%","965,20",0,"0,00%","0,00",2020-06-17
59,Itamarati,460,178.0,0,"0,30%","2.267,23",1,"0,56%","12,74",2020-06-17
60,Santa Isabel do Rio Negro,154,85.0,0,"0,14%","337,89",2,"2,35%","7,95",2020-06-17
61,Careiro da Várzea,158,60.0,0,"0,10%","198,51",4,"6,67%","13,23",2020-06-17
62,Canutama,149,48.0,0,"0,08%","307,12",0,"0,00%","0,00",2020-06-17
63,Apuí (1),169,27.0,1,"0,05%","122,88",0,"0,00%","0,00",2020-06-17
64,Envira (2),11,0.0,0,"0,00%","0,00",0,"0,00%","0,00",2020-06-17
65,Ipixuna (2),18,0.0,0,"0,00%","0,00",0,"0,00%","0,00",2020-06-17
