,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participação por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
53,Nhamundá,140.0,67.0,1,"0,14%","316,44",2,"2,99%","9,45",2020-06-06
54,Pauini,75.0,67.0,0,"0,14%","344,90",0,"0,00%","0,00",2020-06-06
55,Manicoré,529.0,65.0,17,"0,13%","116,59",2,"3,08%","3,59",2020-06-06
56,Careiro da Várzea,139.0,54.0,0,"0,11%","178,66",1,"1,85%","3,31",2020-06-06
57,Guajará,90.0,54.0,0,"0,11%","323,78",1,"1,85%","6,00",2020-06-06
58,Santa Isabel do Rio Negro,107.0,43.0,0,"0,09%","170,93",1,"2,33%","3,98",2020-06-06
59,Canutama,114.0,36.0,0,"0,07%","230,34",0,"0,00%","0,00",2020-06-06
60,Apuí,144.0,27.0,0,"0,06%","122,88",0,"0,00%","0,00",2020-06-06
61,Itamarati,35.0,4.0,0,"0,01%","50,95",0,"0,00%","0,00",2020-06-06
62,Envira***,11.0,0.0,0,"0,00%","0,00",0,"0,00%","0,00",2020-06-06
63,Ipixuna***,18.0,0.0,0,"0,00%","0,00",0,"0,00%","0,00",2020-06-06
