,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participação por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
33,Borba,850,367.0,12,"0,63%","891,62",16,"4,36%","38,87",2020-06-16
34,Amaturá,378,357.0,0,"0,62%","3.094,66",8,"2,24%","69,35",2020-06-16
35,Humaitá,1.052,338.0,0,"0,58%","613,65",4,"1,18%","7,26",2020-06-16
36,Novo Aripuanã,388,328.0,0,"0,57%","1.279,05",8,"2,44%","31,20",2020-06-16
37,Atalaia do Norte,465,303.0,0,"0,52%","1.521,01",1,"0,33%","5,02",2020-06-16
38,Nova Olinda do Norte,417,297.0,5,"0,51%","794,59",18,"6,06%","48,16",2020-06-16
39,Urucará,605,278.0,7,"0,48%","1.710,14",4,"1,44%","24,61",2020-06-16
40,Urucurituba,712,268.0,0,"0,46%","1.161,93",2,"0,75%","8,67",2020-06-16
41,Lábrea,302,255.0,3,"0,44%","553,52",3,"1,18%","6,51",2020-06-16
42,Eirunepé,687,252.0,0,"0,43%","714,43",0,"0,00%","0,00",2020-06-16
43,Anamã,410,241.0,0,"0,42%","1.770,24",0,"0,00%","0,00",2020-06-16
44,Jutaí,455,210.0,7,"0,36%","1.466,79",13,"6,19%","90,80",2020-06-16
45,Novo Airão,510,192.0,0,"0,33%","986,94",5,"2,60%","25,70",2020-06-16
46,Manaquiri (1),315,182.0,1,"0,31%","566,89",8,"4,40%","24,92",2020-06-16
47,Japurá,381,175.0,63,"0,30%","6.352,09",0,"0,00%","0,00",2020-06-16
48,São Sebastião do Uatumã,310,165.0,1,"0,28%","1.176,89",1,"0,61%","7,13",2020-06-16
49,Maraã (1),459,158.0,23,"0,27%","866,99",2,"1,27%","10,97",2020-06-16
50,Silves,308,145.0,3,"0,25%","1.581,07",4,"2,76%","43,62",2020-06-16
51,Boa Vista do Ramos,291,138.0,3,"0,24%","718,49",2,"1,45%","10,41",2020-06-16
52,Caapiranga,285,134.0,0,"0,23%","1.024,39",3,"2,24%","22,93",2020-06-16
53,Pauini (1),131,131.0,0,"0,23%","674,35",0,"0,00%","0,00",2020-06-16
54,Guajará (1),162,127.0,0,"0,22%","761,48",1,"0,79%","6,00",2020-06-16
55,Nhamundá,185,112.0,1,"0,19%","528,98",2,"1,79%","9,45",2020-06-16
56,Codajás,169,105.0,1,"0,18%","366,66",3,"2,86%","10,48",2020-06-16
57,Manicoré,711,104.0,32,"0,18%","186,54",3,"2,88%","5,38",2020-06-16
58,Juruá (1),435,94.0,0,"0,16%","638,93",0,"0,00%","0,00",2020-06-16
59,Itamarati (1),262,78.0,0,"0,13%","993,50",1,"1,28%","12,74",2020-06-16
60,Santa Isabel do Rio Negro (1),128,72.0,0,"0,12%","286,21",2,"2,78%","7,95",2020-06-16
61,Careiro da Várzea,157,57.0,0,"0,10%","188,59",4,"7,02%","13,23",2020-06-16
62,Canutama (1),149,48.0,0,"0,08%","307,12",0,"0,00%","0,00",2020-06-16
63,Apuí,174,27.0,1,"0,05%","122,88",0,"0,00%","0,00",2020-06-16
64,Envira (2),11,0.0,0,"0,00%","0,00",0,"0,00%","0,00",2020-06-16
65,Ipixuna (2),18,0.0,0,"0,00%","0,00",0,"0,00%","0,00",2020-06-16
