,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participacao por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
24,Alvarães,710.0,427.0,0.0,"0,77%","2.661,93",10.0,"2,34%","62,34",2020-06-12
25,Beruri,465.0,374.0,1.0,"0,68%","1.900,50",5.0,"1,34%","25,41",2020-06-12
26,Fonte Boa,716.0,368.0,39.0,"0,67%","2.089,84",13.0,"3,53%","73,83",2020-06-12
27,Borba,817.0,352.0,12.0,"0,64%","855,18",16.0,"4,55%","38,87",2020-06-12
28,Tonantins,704.0,348.0,1.0,"0,63%","1.855,51",14.0,"4,02%","74,65",2020-06-12
29,Uarini,346.0,346.0,0.0,"0,63%","2.555,39",2.0,"0,58%","14,77",2020-06-12
30,Amaturá,358.0,344.0,0.0,"0,62%","2.981,97",8.0,"2,33%","69,35",2020-06-12
31,Carauari,1.15,341.0,1.0,"0,62%","1.205,20",4.0,"1,17%","14,14",2020-06-12
32,Humaitá,967.0,278.0,0.0,"0,50%","504,72",3.0,"1,08%","5,45",2020-06-12
33,Novo Aripuanã (1),321.0,269.0,0.0,"0,49%","1.048,98",8.0,"2,97%","31,20",2020-06-12
34,Urucará,583.0,257.0,3.0,"0,47%","1.580,95",4.0,"1,56%","24,61",2020-06-12
35,Urucurituba,636.0,235.0,0.0,"0,43%","1.018,86",2.0,"0,85%","8,67",2020-06-12
36,Anamã,380.0,234.0,0.0,"0,42%","1.718,82",0.0,"0,00%","0,00",2020-06-12
37,Eirunepé,644.0,227.0,0.0,"0,41%","643,55",0.0,"0,00%","0,00",2020-06-12
38,Atalaia do Norte,250.0,222.0,0.0,"0,40%","1.114,40",1.0,"0,45%","5,02",2020-06-12
39,Novo Airão,493.0,187.0,0.0,"0,34%","961,24",5.0,"2,67%","25,70",2020-06-12
40,Lábrea,249.0,175.0,3.0,"0,32%","379,86",1.0,"0,57%","2,17",2020-06-12
41,Jutaí,369.0,169.0,7.0,"0,31%","1.180,41",12.0,"7,10%","83,82",2020-06-12
42,Manaquiri,300.0,167.0,1.0,"0,30%","520,17",7.0,"4,19%","21,80",2020-06-12
43,Nova Olinda do Norte,286.0,166.0,5.0,"0,30%","444,11",15.0,"9,04%","40,13",2020-06-12
44,Japurá,366.0,164.0,62.0,"0,30%","5.952,81",0.0,"0,00%","0,00",2020-06-12
45,São Sebastião do Uatumã,302.0,159.0,0.0,"0,29%","1.134,09",1.0,"0,63%","7,13",2020-06-12
46,Maraã,446.0,158.0,23.0,"0,29%","866,99",2.0,"1,27%","10,97",2020-06-12
47,Silves (1),291.0,139.0,3.0,"0,25%","1.515,65",4.0,"2,88%","43,62",2020-06-12
48,Boa Vista do Ramos,270.0,133.0,3.0,"0,24%","692,46",2.0,"1,50%","10,41",2020-06-12
49,Caapiranga,263.0,126.0,0.0,"0,23%","963,23",2.0,"1,59%","15,29",2020-06-12
50,Guajará,115.0,115.0,0.0,"0,21%","689,53",1.0,"0,87%","6,00",2020-06-12
51,Pauini,109.0,109.0,0.0,"0,20%","561,10",0.0,"0,00%","0,00",2020-06-12
52,Nhamundá,165.0,108.0,1.0,"0,20%","510,08",2.0,"1,85%","9,45",2020-06-12
53,Codajás,153.0,96.0,1.0,"0,17%","335,23",2.0,"2,08%","6,98",2020-06-12
54,Manicoré,645.0,93.0,32.0,"0,17%","166,81",2.0,"2,15%","3,59",2020-06-12
55,Itamarati (1),262.0,78.0,0.0,"0,14%","993,50",1.0,"1,28%","12,74",2020-06-12
56,Juruá (1),393.0,72.0,0.0,"0,13%","489,40",0.0,"0,00%","0,00",2020-06-12
57,Santa Isabel do Rio Negro,120.0,64.0,0.0,"0,12%","254,41",1.0,"1,56%","3,98",2020-06-12
58,Careiro da Várzea,150.0,56.0,0.0,"0,10%","185,28",4.0,"7,14%","13,23",2020-06-12
59,Canutama,134.0,48.0,0.0,"0,09%","307,12",0.0,"0,00%","0,00",2020-06-12
60,Apuí,154.0,27.0,1.0,"0,05%","122,88",0.0,"0,00%","0,00",2020-06-12
61,Envira (2),11.0,0.0,0.0,"0,00%","0,00",0.0,"0,00%","0,00",2020-06-12
62,Ipixuna (2),18.0,0.0,0.0,"0,00%","0,00",0.0,"0,00%","0,00",2020-06-12
