,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participacao por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
19,Boca do Acre,1.054,541.0,0.0,"0,95%","1.576,89",8.0,"1,48%","23,32",2020-06-15
20,Anori,775.0,528.0,0.0,"0,93%","2.513,09",9.0,"1,70%","42,84",2020-06-15
21,Tapauá (1),1.295,512.0,0.0,"0,90%","2.984,38",3.0,"0,59%","17,49",2020-06-15
22,Barreirinha,704.0,462.0,0.0,"0,81%","1.441,90",6.0,"1,30%","18,73",2020-06-15
23,Itapiranga,457.0,457.0,1.0,"0,80%","4.995,63",5.0,"1,09%","54,66",2020-06-15
24,Alvarães (1),710.0,427.0,4.0,"0,75%","2.661,93",10.0,"2,34%","62,34",2020-06-15
25,Beruri,465.0,374.0,1.0,"0,66%","1.900,50",5.0,"1,34%","25,41",2020-06-15
26,Carauari (1),1.2109999999999999,369.0,1.0,"0,65%","1.304,16",4.0,"1,08%","14,14",2020-06-15
27,Fonte Boa (1),726.0,369.0,39.0,"0,65%","2.095,52",13.0,"3,52%","73,83",2020-06-15
28,Borba,839.0,362.0,12.0,"0,64%","879,47",16.0,"4,42%","38,87",2020-06-15
29,Tonantins,711.0,352.0,1.0,"0,62%","1.876,83",14.0,"3,98%","74,65",2020-06-15
30,Amaturá,373.0,351.0,0.0,"0,62%","3.042,65",8.0,"2,28%","69,35",2020-06-15
31,Uarini,358.0,358.0,0.0,"0,63%","2.644,02",3.0,"0,84%","22,16",2020-06-15
32,Novo Aripuanã (1),321.0,291.0,0.0,"0,51%","1.134,77",8.0,"2,75%","31,20",2020-06-15
33,Humaitá,1.034,323.0,0.0,"0,57%","586,42",4.0,"1,24%","7,26",2020-06-15
34,Urucará,591.0,265.0,7.0,"0,47%","1.630,17",4.0,"1,51%","24,61",2020-06-15
35,Atalaia do Norte,460.0,253.0,0.0,"0,45%","1.270,02",1.0,"0,40%","5,02",2020-06-15
36,Urucurituba,673.0,250.0,0.0,"0,44%","1.083,89",2.0,"0,80%","8,67",2020-06-15
37,Eirunepé (1),679.0,241.0,0.0,"0,42%","683,24",0.0,"0,00%","0,00",2020-06-15
38,Anamã,400.0,238.0,0.0,"0,42%","1.748,20",0.0,"0,00%","0,00",2020-06-15
39,Lábrea,298.0,234.0,3.0,"0,41%","507,93",3.0,"1,28%","6,51",2020-06-15
40,Novo Airão,503.0,190.0,0.0,"0,33%","976,66",5.0,"2,63%","25,70",2020-06-15
41,Nova Olinda do Norte,387.0,277.0,5.0,"0,49%","741,08",17.0,"6,14%","45,48",2020-06-15
42,Jutaí,420.0,187.0,7.0,"0,33%","1.306,14",13.0,"6,95%","90,80",2020-06-15
43,Japurá,373.0,170.0,63.0,"0,30%","6.170,60",0.0,"0,00%","0,00",2020-06-15
44,Manaquiri,315.0,182.0,1.0,"0,32%","566,89",8.0,"4,40%","24,92",2020-06-15
45,São Sebastião do Uatumã,302.0,161.0,1.0,"0,28%","1.148,36",1.0,"0,62%","7,13",2020-06-15
46,Maraã,459.0,158.0,23.0,"0,28%","866,99",2.0,"1,27%","10,97",2020-06-15
47,Silves,299.0,144.0,3.0,"0,25%","1.570,17",4.0,"2,78%","43,62",2020-06-15
48,Boa Vista do Ramos,278.0,136.0,3.0,"0,24%","708,08",2.0,"1,47%","10,41",2020-06-15
49,Caapiranga,271.0,129.0,0.0,"0,23%","986,16",3.0,"2,33%","22,93",2020-06-15
50,Guajará (1),162.0,127.0,0.0,"0,22%","761,48",1.0,"0,79%","6,00",2020-06-15
51,Nhamundá,180.0,110.0,1.0,"0,19%","519,53",2.0,"1,82%","9,45",2020-06-15
52,Pauini (1),131.0,131.0,0.0,"0,23%","674,35",0.0,"0,00%","0,00",2020-06-15
53,Codajás,164.0,102.0,1.0,"0,18%","356,18",3.0,"2,94%","10,48",2020-06-15
54,Manicoré,678.0,97.0,32.0,"0,17%","173,99",3.0,"3,09%","5,38",2020-06-15
55,Juruá (1),435.0,94.0,0.0,"0,17%","638,93",0.0,"0,00%","0,00",2020-06-15
56,Itamarati (1),262.0,78.0,0.0,"0,14%","993,50",1.0,"1,28%","12,74",2020-06-15
57,Santa Isabel do Rio Negro (1),128.0,72.0,0.0,"0,13%","286,21",2.0,"2,78%","7,95",2020-06-15
58,Careiro da Várzea,152.0,56.0,0.0,"0,10%","185,28",4.0,"7,14%","13,23",2020-06-15
59,Canutama,149.0,48.0,0.0,"0,08%","307,12",0.0,"0,00%","0,00",2020-06-15
60,Apuí,169.0,27.0,1.0,"0,05%","122,88",0.0,"0,00%","0,00",2020-06-15
61,Envira (2),11.0,0.0,0.0,"0,00%","0,00",0.0,"0,00%","0,00",2020-06-15
62,Ipixuna (2),18.0,0.0,0.0,"0,00%","0,00",0.0,"0,00%","0,00",2020-06-15
