,Municipio,Notificados,Confirmados,Clinico Epidemiologico,Participacao por Municipio,Incidencia, Obitos,Letalidade,Mortalidade,Data
49,Caapiranga,285.0,134.0,0.0,"0,23%","1.024,39",3.0,"2,24%","22,93",2020-06-16
50,Pauini (1),131.0,131.0,0.0,"0,23%","674,35",0.0,"0,00%","0,00",2020-06-16
51,Guajará (1),162.0,127.0,0.0,"0,22%","761,48",1.0,"0,79%","6,00",2020-06-16
52,Nhamundá,185.0,112.0,1.0,"0,19%","528,98",2.0,"1,79%","9,45",2020-06-16
53,Codajás,169.0,105.0,1.0,"0,18%","366,66",3.0,"2,86%","10,48",2020-06-16
54,Manicoré,711.0,104.0,32.0,"0,18%","186,54",3.0,"2,88%","5,38",2020-06-16
55,Juruá (1),435.0,94.0,0.0,"0,16%","638,93",0.0,"0,00%","0,00",2020-06-16
56,Itamarati (1),262.0,78.0,0.0,"0,13%","993,50",1.0,"1,28%","12,74",2020-06-16
57,Santa Isabel do Rio Negro (1),128.0,72.0,0.0,"0,12%","286,21",2.0,"2,78%","7,95",2020-06-16
58,Careiro da Várzea,157.0,57.0,0.0,"0,10%","188,59",4.0,"7,02%","13,23",2020-06-16
59,Canutama (1),149.0,48.0,0.0,"0,08%","307,12",0.0,"0,00%","0,00",2020-06-16
60,Apuí,174.0,27.0,1.0,"0,05%","122,88",0.0,"0,00%","0,00",2020-06-16
61,Envira (2),11.0,0.0,0.0,"0,00%","0,00",0.0,"0,00%","0,00",2020-06-16
62,Ipixuna (2),18.0,0.0,0.0,"0,00%","0,00",0.0,"0,00%","0,00",2020-06-16
